name,Run,BioSample,SampleName,Treatment,Day,"Redox (mV)"
"Hydrocarbonoclastic Bioreactors",SRR5457244,SAMN06763461,HC-bioreactors_t0,Anoxic,0,-116
"Hydrocarbonoclastic Bioreactors",SRR5457243,SAMN06763462,HC-bioreactors_A_t8,Anoxic,8,-250
"Hydrocarbonoclastic Bioreactors",SRR5457242,SAMN06763463,HC-bioreactors_A_t10,Anoxic,10,-228
"Hydrocarbonoclastic Bioreactors",SRR5457241,SAMN06763464,HC-bioreactors_A_t11,Anoxic,11,-254
"Hydrocarbonoclastic Bioreactors",SRR5457240,SAMN06763465,HC-bioreactors_A_t15,Anoxic,15,-294
"Hydrocarbonoclastic Bioreactors",SRR5457239,SAMN06763466,HC-bioreactors_A/O_T5,Anoxic/Oxic,5,-186
"Hydrocarbonoclastic Bioreactors",SRR5457238,SAMN06763467,HC-bioreactors_A/O_T5.4,Anoxic/Oxic,5.4,-273
"Hydrocarbonoclastic Bioreactors",SRR5457237,SAMN06763468,HC-bioreactors_A/O_T7,Anoxic/Oxic,7,-306
"Hydrocarbonoclastic Bioreactors",SRR5457236,SAMN06763469,HC-bioreactors_A/O_T8,Anoxic/Oxic,8,-43
"Hydrocarbonoclastic Bioreactors",SRR5457235,SAMN06763470,HC-bioreactors_A/O_T10,Anoxic/Oxic,10,-320
"Hydrocarbonoclastic Bioreactors",SRR5457234,SAMN06763471,HC-bioreactors_A/O_T11,Anoxic/Oxic,11,-17
"Hydrocarbonoclastic Bioreactors",SRR5457233,SAMN06763472,HC-bioreactors_A/O_T15,Anoxic/Oxic,15,-382
"Hydrocarbonoclastic Bioreactors",SRR5457232,SAMN06763473,HC-bioreactors_O_T5,Oxic,5,249
"Hydrocarbonoclastic Bioreactors",SRR5457231,SAMN06763474,HC-bioreactors_O_T5.4,Oxic,5.4,220
"Hydrocarbonoclastic Bioreactors",SRR5457230,SAMN06763475,HC-bioreactors_O_T7,Oxic,7,207
"Hydrocarbonoclastic Bioreactors",SRR5457229,SAMN06763476,HC-bioreactors_O_T8,Oxic,8,225
"Hydrocarbonoclastic Bioreactors",SRR5457228,SAMN06763477,HC-bioreactors_O_T10,Oxic,10,225
"Hydrocarbonoclastic Bioreactors",SRR5457227,SAMN06763478,HC-bioreactors_O_T11,Oxic,11,238
"Hydrocarbonoclastic Bioreactors",SRR5457226,SAMN06763479,HC-bioreactors_O_T15,Oxic,15,254
