Name,Run,LibraryName,BioSample,SampleName
"IBD Gut",SRR21721061,CD-B,SAMN31029401,KNU_CD_B
"IBD Gut",SRR21721060,CD-C,SAMN31029402,KNU_CD_C
"IBD Gut",SRR21721049,CD-D,SAMN31029403,KNU_CD_D
"IBD Gut",SRR21721058,HC-G,SAMN31029412,KNU_HC_G
"IBD Gut",SRR21721057,HC-I,SAMN31029413,KNU_HC_I
"IBD Gut",SRR21721056,HC-J,SAMN31029414,KNU_HC_J
"IBD Gut",SRR21721055,HC-O,SAMN31029415,KNU_HC_O
"IBD Gut",SRR21721054,HC-Q,SAMN31029416,KNU_HC_Q
"IBD Gut",SRR21721053,HC-R,SAMN31029417,KNU_HC_R
"IBD Gut",SRR21721052,HC-S,SAMN31029418,KNU_HC_S
"IBD Gut",SRR21721051,HC-T,SAMN31029419,KNU_HC_T
"IBD Gut",SRR21721050,HC-U,SAMN31029420,KNU_HC_U
"IBD Gut",SRR21721048,HC-V,SAMN31029421,KNU_HC_V
"IBD Gut",SRR21721043,IC-F,SAMN31029408,KNU_IC_F
"IBD Gut",SRR21721042,IC-H,SAMN31029409,KNU_IC_H
"IBD Gut",SRR21721041,IC-N,SAMN31029410,KNU_IC_N
"IBD Gut",SRR21721059,IC-P,SAMN31029411,KNU_IC_P
"IBD Gut",SRR21721047,UC-E,SAMN31029404,KNU_UC_E
"IBD Gut",SRR21721046,UC-K,SAMN31029405,KNU_UC_K
"IBD Gut",SRR21721045,UC-M,SAMN31029406,KNU_UC_M
"IBD Gut",SRR21721044,UC-Y,SAMN31029407,KNU_UC_Y
