study,name,Run,BioSample,sample,station,depth,"O2 (umol L-1)","ORP (mV)"
HXZ+20,"Yongle Blue Hole",SRR8146444,SAMN10363489,BHO0m,SYBL,0,237.4,18
HXZ+20,"Yongle Blue Hole",SRR8146453,SAMN10363490,BHO10m,SYBL,10,189.6,46
HXZ+20,NA,,,,SYBL,13.1,166.8,
HXZ+20,NA,,,,SYBL,15.2,124.3,
HXZ+20,NA,,,,SYBL,18.6,118.7,
HXZ+20,NA,,,,SYBL,28.8,123.2,
HXZ+20,"Yongle Blue Hole",SRR8146452,SAMN10363491,BHO30m,SYBL,30,125.7,34
HXZ+20,NA,,,,SYBL,34.8,134.8,
HXZ+20,NA,,,,SYBL,47.7,152.4,
HXZ+20,"Yongle Blue Hole",SRR8146418,SAMN10363492,BHO50m,SYBL,50,154.5,24
HXZ+20,NA,,,,SYBL,61.2,160.1,
HXZ+20,NA,,,,SYBL,64.6,154.1,
HXZ+20,"Yongle Blue Hole",SRR8146419,SAMN10363493,BHO70m,SYBL,70,114.8,37
HXZ+20,"Yongle Blue Hole",SRR8146420,SAMN10363494,BHO80m,SYBL,80,43.2,47
HXZ+20,NA,,,,SYBL,83.9,6.3,
HXZ+20,NA,,,,SYBL,86.6,0.7,
HXZ+20,"Yongle Blue Hole",SRR8146421,SAMN10363495,BHO90m,SYBL,90,0.3,-170
HXZ+20,"Yongle Blue Hole",SRR8146422,SAMN10363496,BHO100m,SYBL,100,0,-244
HXZ+20,"Yongle Blue Hole",SRR8146423,SAMN10363497,BHO125m,SYBL,125,0,-279
HXZ+20,"Yongle Blue Hole",SRR8146425,SAMN10363499,BHO150m,SYBL,150,0,-308
HXZ+20,"Yongle Blue Hole",SRR8146426,SAMN10363500,BHO200m,SYBL,200,0,-331
HXZ+20,NA,,,,SYBL,250,0,-309
HXZ+20,"Yongle Blue Hole",SRR8146427,SAMN10363501,BHO300m,SYBL,300,0,-296
HXZ+20,"Yongle Blue Hole",SRR8146436,SAMN10363470,C3-0m,C3,0,192.6,25.9
HXZ+20,NA,,,,C3,4.9,195.9,
HXZ+20,"Yongle Blue Hole",SRR8146437,SAMN10363471,C3-10m,C3,10,195,28
HXZ+20,NA,,,,C3,15.1,194.3,
HXZ+20,NA,,,,C3,24.5,197.9,
HXZ+20,"Yongle Blue Hole",SRR8146416,SAMN10363472,C3-30m,C3,30,211.4,24.9
HXZ+20,NA,,,,C3,44.7,211.8,
HXZ+20,"Yongle Blue Hole",SRR8146417,SAMN10363473,C3-50m,C3,50,210.2,25.1
HXZ+20,NA,,,,C3,54.9,208,
HXZ+20,NA,,,,C3,59.6,199.7,
HXZ+20,NA,,,,C3,64.4,197.5,
HXZ+20,NA,,,,C3,69.8,190.1,
HXZ+20,"Yongle Blue Hole",SRR8146414,SAMN10363474,C3-75m,C3,75,187.9,29
HXZ+20,NA,,,,C3,84,186.5,
HXZ+20,NA,,,,C3,94.9,178.5,
HXZ+20,"Yongle Blue Hole",SRR8146415,SAMN10363475,C3-100m,C3,100,178.7,30
HXZ+20,NA,,,,C3,105,177.6,
HXZ+20,NA,,,,C3,111.1,167.5,
HXZ+20,NA,,,,C3,123.3,161.5,
HXZ+20,NA,,,,C3,134.1,156.1,
HXZ+20,NA,,,,C3,144.3,153.4,
HXZ+20,"Yongle Blue Hole",SRR8146412,SAMN10363476,C3-150m,C3,150,154.7,34
HXZ+20,NA,,,,C3,160.5,153.2,
HXZ+20,NA,,,,C3,165.2,155.4,
HXZ+20,NA,,,,C3,174.7,153.2,
HXZ+20,NA,,,,C3,194.3,154.5,
HXZ+20,"Yongle Blue Hole",SRR8146413,SAMN10363477,C3-200m,C3,200,152.1,42
HXZ+20,NA,,,,C3,210.5,151.2,
HXZ+20,NA,,,,C3,220.7,145.8,
HXZ+20,NA,,,,C3,239.6,145.8,
HXZ+20,NA,,,,C3,255.1,140.6,
HXZ+20,NA,,,,C3,270,140.6,
HXZ+20,NA,,,,C3,280.8,135.9,
HXZ+20,"Yongle Blue Hole",SRR8146410,SAMN10363478,C3-300m,C3,300,133.9,46.1
HXZ+20,NA,,,,C3,318,133.3,
HXZ+20,NA,,,,C3,322.8,130.6,
HXZ+20,NA,,,,C3,329.5,130.8,
HXZ+20,NA,,,,C3,341,128.1,
HXZ+20,"Yongle Blue Hole",SRR8146411,SAMN10363479,C4-0m,C4,0,,
HXZ+20,"Yongle Blue Hole",SRR8146449,SAMN10363484,C4-100m,C4,100,,
HXZ+20,"Yongle Blue Hole",SRR8146408,SAMN10363480,C4-10m,C4,10,,
HXZ+20,"Yongle Blue Hole",SRR8146448,SAMN10363485,C4-150m,C4,150,,
HXZ+20,"Yongle Blue Hole",SRR8146447,SAMN10363486,C4-200m,C4,200,,
HXZ+20,"Yongle Blue Hole",SRR8146446,SAMN10363487,C4-300m,C4,300,,
HXZ+20,"Yongle Blue Hole",SRR8146409,SAMN10363481,C4-30m,C4,30,,
HXZ+20,"Yongle Blue Hole",SRR8146451,SAMN10363482,C4-50m,C4,50,,
HXZ+20,"Yongle Blue Hole",SRR8146450,SAMN10363483,C4-75m,C4,75,,
