n1,n2,DZC,study,Clostridia,Alphaproteobacteria,Betaproteobacteria,Flavobacteriia,Actinobacteria,Gammaproteobacteria,Campylobacteria,Planctomycetacia,Deltaproteobacteria,Cyanobacteria,Verrucomicrobiae,Saprospiria,Cytophagia,Chlamydiia,Caldilineae,Aquificae,Balneolia,Chlorobia,Anaerolineae,Phycisphaerae,Nitrospira,Acidimicrobiia,Nitrospinia,Bacilli,Acidobacteria_Gp1,Acidobacteria_Gp6,Acidobacteria_Gp3,Subdivision3,Spartobacteria,Chitinophagia,Synergistia,Thermotogae
2,2,-0.007206,GBL+15,NA,27,NA,-50,NA,7,NA,76,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,-0.006428,JHM+16,NA,4,0,NA,NA,4,NA,41,36,44,6,-8,-32,10,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4,-0.037731,MPB+17,NA,-2,NA,-2,NA,17,64,NA,0,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,8,-0.020748,BCA+21,79,NA,NA,-28,NA,8,NA,2,27,NA,7,6,-4,NA,NA,NA,3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,-0.011955,SVH+19,NA,-39,NA,-25,NA,1,NA,12,64,13,34,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,-0.006583,MZG+20,NA,4,-10,NA,NA,42,NA,49,18,-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,5,-0.005056,HXZ+20,NA,-19,NA,-48,NA,119,NA,-35,86,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,58,-0.002682,UKD+18.water,10,70,-11,NA,4,51,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22,NA,NA,NA,NA,NA,NA,NA,NA
12,13,-0.000622,MMA+20_spring,NA,-26,0,NA,NA,15,NA,-3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,33,-4,2,3,67,NA,NA
8,12,-0.025927,CHM+14_injected-49,89,NA,NA,NA,NA,43,-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,-0.061886,HRR+18_injected-130,40,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,45
1,1,-0.04783,ZLF+19_injected-18,101,2,0,-14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
