seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
1,-71.149,-71.314,-70.902,-71.259,-71.341,-71.369,-71.259,-71.176,-71.424,-69.694,-66.345
2,-71.067,-71.149,-70.765,-71.176,-71.259,-71.286,-71.149,-71.094,-71.369,-69.749,-67.608
3,-70.929,-71.067,-70.573,-71.039,-71.176,-71.204,-71.039,-70.957,-71.259,-69.2,-66.153
4,-71.149,-71.286,-70.875,-71.231,-71.341,-71.341,-71.231,-71.176,-71.396,-69.667,-66.51
5,-71.039,-71.176,-70.737,-71.149,-71.259,-71.286,-71.149,-71.067,-71.369,-69.42,-66.592
6,-70.929,-71.039,-70.6,-71.039,-71.149,-71.204,-71.039,-70.957,-71.259,-69.2,-65.851
7,-71.012,-71.149,-70.655,-71.122,-71.231,-71.259,-71.094,-71.039,-71.314,-69.42,-67.196
8,-71.176,-71.286,-70.929,-71.286,-71.369,-71.396,-71.259,-71.204,-71.451,-70.078,-68.843
9,-71.231,-71.396,-70.957,-71.314,-71.424,-71.451,-71.314,-71.259,-71.478,-69.749,-66.729
10,-71.424,-71.588,-71.176,-71.506,-71.616,-71.643,-71.533,-71.451,-71.671,-69.969,-67.031
11,-71.286,-71.396,-70.957,-71.369,-71.478,-71.506,-71.369,-71.314,-71.588,-69.831,-67.882
12,-71.094,-71.149,-70.765,-71.176,-71.259,-71.314,-71.149,-71.094,-71.369,-69.776,-67.855
13,-71.149,-71.259,-70.929,-71.231,-71.314,-71.341,-71.231,-71.176,-71.396,-70.161,-68.953
14,-71.122,-71.341,-70.902,-71.231,-71.314,-71.341,-71.231,-71.149,-71.369,-70.051,-68.898
15,-71.067,-71.259,-70.765,-71.176,-71.286,-71.314,-71.176,-71.094,-71.369,-69.502,-66.867
16,-71.122,-71.231,-70.847,-71.204,-71.286,-71.314,-71.204,-71.149,-71.369,-69.831,-67.663
17,-70.737,-70.82,-70.38,-70.847,-70.957,-70.984,-70.82,-70.765,-71.067,-69.008,-65.027
18,-71.478,-71.588,-71.176,-71.588,-71.671,-71.725,-71.588,-71.506,-71.78,-69.996,-66.867
19,-70.737,-70.792,-70.298,-70.847,-70.957,-71.012,-70.82,-70.765,-71.094,-68.953,-65.522
20,-71.122,-71.204,-70.847,-71.204,-71.314,-71.341,-71.204,-71.149,-71.396,-70.024,-68.816
