study,envirotype,lineage,sample,Run,groupby,group,Eh,Eh7,ZC
MLL+18,River & Seawater,Bacteria,HEM1,SRR3476633,Season,Summer,43.72,113.8,-0.143946
MLL+18,River & Seawater,Bacteria,HEM2,SRR3476634,Season,Summer,43.72,113.8,-0.144283
MLL+18,River & Seawater,Bacteria,HEM3,SRR3476635,Season,Summer,43.72,113.8,-0.152933
MLL+18,River & Seawater,Bacteria,HQM1,SRR3476636,Season,Summer,26.44,89.4,-0.147104
MLL+18,River & Seawater,Bacteria,HQM2,SRR3476638,Season,Summer,26.44,89.4,-0.148147
MLL+18,River & Seawater,Bacteria,HQM3,SRR3476639,Season,Summer,26.44,89.4,-0.148801
MLL+18,River & Seawater,Bacteria,HTM1,SRR3476623,Season,Summer,27.64,87.9,-0.144649
MLL+18,River & Seawater,Bacteria,HTM2,SRR3476624,Season,Summer,27.64,87.9,-0.14313
MLL+18,River & Seawater,Bacteria,HTM3,SRR3476625,Season,Summer,27.64,87.9,-0.149037
MLL+18,River & Seawater,Bacteria,HUM1,SRR3476643,Season,Summer,43.83,100.6,-0.142905
MLL+18,River & Seawater,Bacteria,HUM2,SRR3476645,Season,Summer,43.83,100.6,-0.144365
MLL+18,River & Seawater,Bacteria,HUM3,SRR3476646,Season,Summer,43.83,100.6,-0.148416
MLL+18,River & Seawater,Bacteria,JOM1,SRR3476640,Season,Summer,23.61,92.1,-0.146359
MLL+18,River & Seawater,Bacteria,JOM2,SRR3476641,Season,Summer,23.61,92.1,-0.146832
MLL+18,River & Seawater,Bacteria,JOM3,SRR3476642,Season,Summer,23.61,92.1,-0.146425
MLL+18,River & Seawater,Bacteria,JTM1,SRR3476627,Season,Summer,59.13,131.9,-0.137861
MLL+18,River & Seawater,Bacteria,JTM2,SRR3476628,Season,Summer,59.13,131.9,-0.141178
MLL+18,River & Seawater,Bacteria,JTM3,SRR3476629,Season,Summer,59.13,131.9,-0.142877
MLL+18,River & Seawater,Bacteria,MDM1,SRR3476630,Season,Summer,59.41,123.8,-0.142949
MLL+18,River & Seawater,Bacteria,MDM2,SRR3476631,Season,Summer,59.41,123.8,-0.144341
MLL+18,River & Seawater,Bacteria,MDM3,SRR3476632,Season,Summer,59.41,123.8,-0.147223
MLL+18,River & Seawater,Bacteria,YAM2,SRR3476621,Season,Summer,73.12,140.4,-0.144628
MLL+18,River & Seawater,Bacteria,YAM3,SRR3476622,Season,Summer,73.12,140.4,-0.14543
MLL+18,River & Seawater,Bacteria,HEM1-02,SRR5252174,Season,Winter,133.62,180.9,-0.144808
MLL+18,River & Seawater,Bacteria,HEM2-02,SRR5252175,Season,Winter,133.62,180.9,-0.143805
MLL+18,River & Seawater,Bacteria,HEM3-02,SRR5252265,Season,Winter,133.62,180.9,-0.143118
MLL+18,River & Seawater,Bacteria,HQM1-02,SRR5252266,Season,Winter,126.41,182.8,-0.143883
MLL+18,River & Seawater,Bacteria,HQM2-02,SRR5252267,Season,Winter,126.41,182.8,-0.145881
MLL+18,River & Seawater,Bacteria,HQM3-02,SRR5252268,Season,Winter,126.41,182.8,-0.143777
MLL+18,River & Seawater,Bacteria,HTM1-02,SRR5251650,Season,Winter,21.94,78,-0.150402
MLL+18,River & Seawater,Bacteria,HTM2-02,SRR5251651,Season,Winter,21.94,78,-0.147454
MLL+18,River & Seawater,Bacteria,HTM3-02,SRR5251667,Season,Winter,21.94,78,-0.150596
MLL+18,River & Seawater,Bacteria,HUM1-02,SRR5252274,Season,Winter,202.11,236.7,-0.144252
MLL+18,River & Seawater,Bacteria,HUM2-02,SRR5252275,Season,Winter,202.11,236.7,-0.144715
MLL+18,River & Seawater,Bacteria,HUM3-02,SRR5252276,Season,Winter,202.11,236.7,-0.144608
MLL+18,River & Seawater,Bacteria,JOM1-02,SRR5252271,Season,Winter,94.64,147.1,-0.145016
MLL+18,River & Seawater,Bacteria,JOM2-02,SRR5252272,Season,Winter,94.64,147.1,-0.1446
MLL+18,River & Seawater,Bacteria,JOM3-02,SRR5252273,Season,Winter,94.64,147.1,-0.145321
MLL+18,River & Seawater,Bacteria,JTM1-02,SRR5251694,Season,Winter,65.21,124.7,-0.144404
